Model,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,METEOR,BERTScore-F1,Number Accuracy,Length Compliance
BARTpho-word,0.701,0.3209,0.3465,0.1561,0.3618,0.7555,0.7405,0.4299
ViT5-base,0.7103,0.3461,0.3564,0.173,0.3747,0.762,0.7588,0.3645
